%% LaTeX2e file `perf.data'
%% generated by the `filecontents' environment
%% from source `rapport' on 2018/10/22.
%%
W P
0.266000 200000
0.952000 200000
3.812000 200000
6.686000 200000
9.902000 200000
12.744000 200000
16.914000 200000
19.544000 200000
22.139000 200000
24.732000 200000
24.824000 200000
24.917000 200000
25.016000 200000
25.118000 200000
25.209000 200000
27.845000 200000
30.686000 200000
33.316000 200000
35.911000 200000
38.558000 200000
41.599000 200000
44.183000 200000
46.818000 200000
46.908000 200000
46.997000 200000
47.086000 200000
47.176000 200000
47.268000 200000
47.358000 190672
47.447000 167444
47.537000 146968
50.235000 126655
52.819000 109547
55.419000 94962
58.033000 82488
60.657000 71795
63.299000 62597
65.965000 54667
68.590000 47866
68.681000 44203
68.772000 40416
68.863000 36670
68.956000 33064
69.049000 29663
69.146000 26502
69.241000 23604
69.334000 20965
71.964000 16365
74.598000 12922
77.336000 10442
79.938000 8505
82.598000 7039
85.447000 6148
88.047000 5311
90.711000 4636
90.802000 6359
90.967000 7291
91.059000 7674
91.150000 7687
91.243000 7455
91.334000 7071
91.423000 6599
91.514000 6081
94.155000 6662
96.771000 6885
99.422000 6930
109.424000 15035
113.598000 13681
116.210000 11076
118.821000 9094
121.417000 7601
121.510000 8653
121.600000 9074
121.689000 9067
121.782000 8779
121.876000 8315
121.967000 7750
122.065000 7132
122.158000 6507
127.638000 10151
130.518000 9400
133.272000 8625
135.841000 7723
138.433000 7002
141.137000 6512
143.712000 5923
146.309000 5458
146.400000 6481
146.489000 6949
146.578000 7038
146.670000 6876
146.762000 6556
146.851000 6140
146.941000 5677
147.031000 5193
149.661000 6119
152.330000 6653
155.097000 6986
158.011000 7234
160.641000 6944
163.251000 6587
165.870000 6238
168.481000 5893
168.574000 6602
168.664000 6858
168.754000 6812
168.852000 6562
168.941000 6200
169.030000 5768
169.134000 5303
169.224000 4836
171.872000 5928
174.530000 6552
177.238000 6883
179.956000 6967
182.709000 6931
185.512000 6831
188.309000 6634
191.033000 6306
191.133000 6937
191.231000 7134
191.326000 7038
191.427000 6754
191.525000 6358
191.624000 5900
191.726000 5414
191.825000 4922
194.596000 6116
197.379000 6800
200.095000 7053
202.964000 7254
205.552000 6929
208.247000 6689
210.997000 6469
213.878000 6356
213.983000 6993
214.091000 7193
214.190000 7100
214.294000 6818
214.394000 6417
214.494000 5954
214.596000 5463
214.696000 4970
217.489000 6166
220.217000 6766
223.014000 7108
226.098000 7517
228.830000 7253
231.596000 6972
234.404000 6705
237.183000 6373
237.284000 7045
237.379000 7265
237.474000 7180
237.571000 6899
237.668000 6499
237.763000 6034
237.858000 5537
237.953000 5038
240.746000 6204
243.571000 6903
246.427000 7262
249.597000 7711
252.369000 7416
255.158000 7094
257.914000 6713
260.683000 6349
260.781000 7043
260.878000 7277
260.973000 7203
261.081000 6922
261.177000 6529
261.299000 6056
261.403000 5566
